Daily MWh ,name,type,location,note,size (km2),barrels of oil equivalent,,MW,capacity factor,operational hours per day,,data year
"1,093",Atikokan-G1,Biomass,Canada,,,94,,215,21%,24,,2014
"1,729",MONTES DEL PLATA,Biomass,Uruguay,,,149,,180,40%,24,,2014
"2,064",Aracruz,Biomass,Brazil,,,178,,210,41%,24,,2014
"2,214",Polaniec,Biomass,Poland,powered by agricultural byproducts and wood residue,,191,,205,45%,24,,
"2,773",Toppila 1 ja 2,Biomass,Finland,,,239,,195,59%,24,,2014
"2,862",Alholmenskraft,Biomass,Finland,,,247,,265,45%,24,,
"2,894",Rodenhuize 4,Biomass,Belgium,"Built as a coal plant, converted to biomass between 2005 and 2010.",,250,,268,45%,24,,
"3,239",Klabin Celulose,Biomass,Brazil,,,279,,330,41%,24,,2014
"4,201",Värtaverket,Biomass,Sweden,,,362,,389,45%,24,,
"5,702",Zolling,Biomass,Germany,,,492,,528,45%,24,,
"47,956",Drax,Biomass,UK,The first power station in the UK to be fuelled solely by wood. Converted from coal between 2008 and 2018.,,"4,134",,"2,595",77%,24,,2014
"1,600",Kohone,Coal,Senegal,,,138,,,,,,
"36,000",Arnot,Coal,S. Africa,"Located on top of Arnot coal mine, one of the largest coal reserves in Africa.",,"3,103",,,,,,
"51,000",Gibson Generating Station,Coal,USA,,,"4,397",,,,,,
"52,800",Boryeong,Coal,S. Korea,,,"4,552",,"4,000",55%,24,,
"54,120",Hekinan,Coal,Japan,,,"4,666",,"4,100",55%,24,,
"64,512",Mailao,Coal,Taiwan,,,"5,561",,"4,200",64%,24,,
"67,056",Yeongheung,Coal,S. Korea,Its cooling systems drive a trio of small hydroelectric plants.,,"5,781",,"5,080",55%,24,,
"71,000",Mundra Thermal Station,Coal,India,,,"6,121",,,,,,
"84,480",Tiachung,Coal,Taiwan,The largest operating coal plant in the world,,"7,283",,"5,500",64%,24,,
"47,952",Chita,Gas,Japan,"At 3,996MW installed capacity, the Chita thermal power station located in Chita, Aichi, Japan, is the world’s fifth biggest natural gas power plant.",,"4,134",,"3,996",50%,24,,
"52,608",Dah-Tarn,Gas,Taiwan,"The 4,384MW Dah-Tarn (Tatan) power plant located in Guanyin, Taoyuan, in Northern Taiwan is the world’s fourth biggest gas-fired power plant.",,"4,535",,"4,384",50%,24,,
"57,093",Futtsu,Gas,Japan,"The 5,040MW Futtsu liquefied natural gas (LNG)-based thermal power station located in Chiba, Japan, is currently the world’s seventh biggest thermal power plant.",,"4,922",,"5,040",47%,24,,2017
"64,539",Kawagoe,Gas,Japan,"Chubu Electric Power Company’s Kawagoe thermal power station located in Kawagoe, Mie, Japan, with 4,802 MW installed capacity, ranks as the world’s third biggest gas-fired power station.",,"5,564",,"4,802",56%,24,,
"77,760",Sodegaura,Gas,Japan,,,"6,703",,"3,600",90%,24,,
"103,896",Higashi Niigata,Gas,Japan,,,"8,957",,"4,810",90%,24,,
"109,178",Surgutskaya GRES-2,Gas,Russia,"Built in 1979 to power the extraction of minerals in Siberia. At 5,597MW installed capacity, Surgutskaya GRES-2 (Sugrut-2), a combined cycle power plant located in the Russian city of Surgut, is the world’s biggest gas-fired power station. The facility is owned and operated by E.ON Russia.",,"9,412",,"5,597",81%,24,,
700,San Martino,Geothermal,Italy,,,60,,,,,,
"6,722",Hellisheiði,Geothermal,Iceland,Extracts energy from wells 2-3km deep.,,580,,,,,,
"6,766",Makban,Geothermal,Philippines,,,583,,,,,,
"7,685",Gunung Salak,Geothermal,Indonesia,"Indonesia's geothermal potential is huge, but under-exploited. Profits have been used to fund a boarding school for girls in the rural area where it is sited.",,663,,375,,,,
"9,324",Unified Leyte,Geothermal,Phillipines,,,804,,610,,,,
"10,369",Cerro Prieto,Geothermal,Mexico,,,894,,570,,,,
"16,085",Larderello,Geothermal,Italy,"Oldest geothermal power plant in the world, built in 1913",,"1,387",,,,,,
